Date,Time,Open,High,Low,Close,Volume
01/01/2024,16:00:00,17019.0,17038.5,17010.75,17014.5,12158
01/01/2024,20:00:00,17014.5,17019.0,17001.0,17017.75,9323
01/02/2024,00:00:00,17017.5,17036.75,16988.0,16994.5,19680
01/02/2024,04:00:00,16994.5,16997.5,16817.0,16853.0,65306
01/02/2024,08:00:00,16853.0,16877.75,16685.0,16720.0,311634
01/02/2024,12:00:00,16720.25,16742.0,16622.5,16731.75,216143
01/02/2024,16:00:00,16736.75,16737.25,16707.5,16711.75,10537
01/02/2024,20:00:00,16711.25,16714.75,16689.0,16704.75,10621
01/03/2024,00:00:00,16704.5,16729.5,16641.25,16642.5,28583
01/03/2024,04:00:00,16642.25,16674.0,16598.0,16617.0,52525
01/03/2024,08:00:00,16617.0,16653.5,16544.0,16600.5,333296
01/03/2024,12:00:00,16600.25,16628.75,16522.0,16542.75,232800
01/03/2024,16:00:00,16545.25,16563.25,16533.0,16555.75,11535
01/03/2024,20:00:00,16556.0,16557.75,16542.75,16543.75,7512
01/04/2024,00:00:00,16543.75,16587.25,16539.5,16577.0,22824
01/04/2024,04:00:00,16576.75,16578.25,16451.25,16459.5,54919
01/04/2024,08:00:00,16459.0,16583.75,16443.25,16505.0,296727
01/04/2024,12:00:00,16505.5,16529.0,16436.0,16450.75,157754
01/04/2024,16:00:00,16455.0,16469.0,16450.75,16460.5,9478
01/04/2024,20:00:00,16460.0,16461.25,16425.75,16428.5,9904
01/05/2024,00:00:00,16428.75,16438.75,16390.75,16397.0,26490
01/05/2024,04:00:00,16397.0,16426.75,16334.25,16399.75,80231
01/05/2024,08:00:00,16400.5,16577.25,16398.0,16469.25,310502
01/05/2024,12:00:00,16468.75,16509.75,16403.75,16465.0,184056
01/07/2024,16:00:00,16470.0,16500.25,16458.75,16469.25,14248
01/07/2024,20:00:00,16469.0,16469.0,16436.25,16441.5,14185
01/08/2024,00:00:00,16441.25,16462.0,16378.25,16420.25,26537
01/08/2024,04:00:00,16420.0,16497.75,16410.0,16477.5,40403
01/08/2024,08:00:00,16477.25,16718.75,16472.25,16717.0,279966
01/08/2024,12:00:00,16716.75,16811.25,16706.0,16788.25,162287
01/08/2024,16:00:00,16788.0,16793.5,16780.5,16789.0,9432
01/08/2024,20:00:00,16789.0,16796.0,16773.0,16775.75,10027
01/09/2024,00:00:00,16775.5,16788.0,16719.5,16740.75,24918
01/09/2024,04:00:00,16740.5,16742.5,16657.75,16665.5,52273
01/09/2024,08:00:00,16665.25,16848.5,16660.5,16845.75,286478
01/09/2024,12:00:00,16845.75,16868.5,16776.5,16829.5,214803
01/09/2024,16:00:00,16829.5,16850.75,16816.5,16834.5,11164
01/09/2024,20:00:00,16834.75,16841.5,16820.0,16826.25,9347
01/10/2024,00:00:00,16825.5,16906.25,16806.25,16897.75,27219
01/10/2024,04:00:00,16897.5,16901.75,16814.75,16816.5,39079
01/10/2024,08:00:00,16816.0,16914.25,16801.5,16910.75,249712
01/10/2024,12:00:00,16911.0,16983.0,16886.0,16957.0,207522
01/10/2024,16:00:00,16955.0,16991.0,16944.75,16985.0,11657
01/10/2024,20:00:00,16985.0,17009.5,16982.75,16998.25,14146
01/11/2024,00:00:00,16998.0,17048.0,16992.5,17004.0,28053
01/11/2024,04:00:00,17004.5,17057.0,16892.25,16907.5,74917
01/11/2024,08:00:00,16907.75,17043.5,16753.0,16838.25,425214
01/11/2024,12:00:00,16837.75,16983.75,16834.5,16958.25,194590
01/11/2024,16:00:00,16957.75,16965.25,16920.25,16942.75,14690
01/11/2024,20:00:00,16943.0,16963.25,16937.25,16943.75,10967
01/12/2024,00:00:00,16943.75,16977.75,16915.25,16927.5,26835
01/12/2024,04:00:00,16927.0,16979.25,16866.5,16963.75,67681
01/12/2024,08:00:00,16964.0,17042.5,16913.5,16953.75,326254
01/12/2024,12:00:00,16953.75,16994.0,16932.0,16955.25,141155
01/14/2024,16:00:00,16961.75,16964.0,16938.75,16957.75,9417
01/14/2024,20:00:00,16958.0,16993.0,16956.25,16983.25,10290
01/15/2024,00:00:00,16982.75,17024.25,16954.25,16961.75,24094
01/15/2024,04:00:00,16962.0,16980.75,16946.5,16960.5,17645
01/15/2024,08:00:00,16960.75,16979.0,16936.25,16970.0,41458
01/15/2024,16:00:00,16961.0,16965.0,16881.75,16910.75,23016
01/15/2024,20:00:00,16910.75,16917.5,16874.75,16877.75,15446
01/16/2024,00:00:00,16877.0,16893.75,16811.75,16854.5,37184
01/16/2024,04:00:00,16855.0,16930.25,16826.0,16893.0,50795
01/16/2024,08:00:00,16893.0,17033.75,16855.0,16897.5,396127
01/16/2024,12:00:00,16897.5,16981.25,16862.0,16978.0,181050
01/16/2024,16:00:00,16978.0,16982.0,16945.25,16950.5,10711
01/16/2024,20:00:00,16950.5,16954.25,16892.25,16893.25,18398
01/17/2024,00:00:00,16893.25,16893.25,16816.0,16872.25,47728
01/17/2024,04:00:00,16872.0,16908.0,16805.25,16820.5,63220
01/17/2024,08:00:00,16820.25,16843.75,16689.25,16808.75,364013
01/17/2024,12:00:00,16808.25,16885.0,16733.25,16860.25,201276
01/17/2024,16:00:00,16854.5,16872.5,16834.25,16858.5,14423
01/17/2024,20:00:00,16859.0,16867.75,16839.25,16864.5,12303
01/18/2024,00:00:00,16864.25,16935.75,16863.5,16917.75,34717
01/18/2024,04:00:00,16917.5,17044.75,16907.75,16982.0,76362
01/18/2024,08:00:00,16982.25,17102.25,16982.25,17001.5,416726
01/18/2024,12:00:00,17001.75,17125.75,16942.5,17117.25,282030
01/18/2024,16:00:00,17116.0,17159.5,17107.25,17157.25,20994
01/18/2024,20:00:00,17156.75,17178.5,17147.75,17149.75,15853
01/19/2024,00:00:00,17149.75,17236.75,17149.0,17226.25,39783
01/19/2024,04:00:00,17226.25,17255.25,17210.25,17220.0,49510
01/19/2024,08:00:00,17220.0,17325.25,17166.25,17325.0,361521
01/19/2024,12:00:00,17325.0,17471.25,17306.25,17462.75,256170
01/21/2024,16:00:00,17466.0,17569.0,17466.0,17548.0,32575
01/21/2024,20:00:00,17548.75,17562.0,17530.0,17535.5,14948
01/22/2024,00:00:00,17535.5,17560.25,17518.5,17538.0,30257
01/22/2024,04:00:00,17537.5,17582.5,17517.5,17526.75,43078
01/22/2024,08:00:00,17527.0,17585.0,17438.75,17482.75,341356
01/22/2024,12:00:00,17483.25,17490.0,17434.0,17455.5,163652
01/22/2024,16:00:00,17461.0,17484.5,17450.0,17478.0,10021
01/22/2024,20:00:00,17477.5,17487.75,17465.25,17471.25,12861
01/23/2024,00:00:00,17470.25,17487.25,17420.5,17463.25,24163
01/23/2024,04:00:00,17463.0,17525.5,17436.25,17500.0,41046
01/23/2024,08:00:00,17499.5,17501.0,17409.5,17489.5,245012
01/23/2024,12:00:00,17489.75,17558.25,17460.0,17552.5,156731
01/23/2024,16:00:00,17554.0,17588.5,17552.25,17582.5,14011
01/23/2024,20:00:00,17582.25,17609.5,17575.25,17603.25,12391
01/24/2024,00:00:00,17603.25,17666.25,17600.75,17661.0,37712
01/24/2024,04:00:00,17661.25,17692.25,17641.25,17664.25,43793
01/24/2024,08:00:00,17664.25,17793.5,17637.5,17784.5,339644
01/24/2024,12:00:00,17784.75,17785.5,17569.75,17630.25,263900
01/24/2024,16:00:00,17614.75,17635.75,17590.5,17608.25,15597
01/24/2024,20:00:00,17608.25,17627.25,17589.25,17625.5,12991
01/25/2024,00:00:00,17625.75,17655.25,17603.0,17628.0,28019
01/25/2024,04:00:00,17627.75,17715.5,17610.25,17706.5,62639
01/25/2024,08:00:00,17706.5,17752.0,17633.0,17651.0,348194
01/25/2024,12:00:00,17651.75,17682.0,17542.0,17579.5,233965
01/25/2024,16:00:00,17571.25,17571.5,17508.75,17519.75,20032
01/25/2024,20:00:00,17519.25,17540.75,17483.5,17505.75,18339
01/26/2024,00:00:00,17506.0,17533.0,17466.0,17532.0,34628
01/26/2024,04:00:00,17532.0,17611.5,17517.0,17597.75,61009
01/26/2024,08:00:00,17598.25,17632.0,17504.0,17528.0,319942
01/26/2024,12:00:00,17528.25,17573.75,17496.75,17504.75,172151
01/28/2024,16:00:00,17502.0,17538.0,17457.5,17536.75,20674
01/28/2024,20:00:00,17536.75,17547.25,17524.0,17532.25,14773
01/29/2024,00:00:00,17532.5,17591.5,17529.5,17547.75,29188
01/29/2024,04:00:00,17547.0,17578.75,17538.0,17546.0,29650
