Date,Time,Open,High,Low,Close,Volume
01/01/2024,17:00:00,17019.0,17037.0,17013.75,17029.5,4633
01/01/2024,18:00:00,17030.0,17030.75,17018.5,17027.0,2270
01/01/2024,19:00:00,17026.75,17038.5,17010.75,17014.5,5255
01/01/2024,20:00:00,17014.5,17019.0,17001.0,17008.25,3541
01/01/2024,21:00:00,17008.25,17013.0,17002.25,17007.5,2024
01/01/2024,22:00:00,17007.25,17013.0,17003.25,17007.75,1526
01/01/2024,23:00:00,17008.0,17019.0,17006.75,17017.75,2232
01/02/2024,00:00:00,17017.5,17019.5,17003.0,17004.5,2096
01/02/2024,01:00:00,17004.25,17023.25,17004.25,17017.25,4035
01/02/2024,02:00:00,17017.5,17036.75,17016.0,17027.25,5498
01/02/2024,03:00:00,17027.25,17028.5,16988.0,16994.5,8051
01/02/2024,04:00:00,16994.5,16997.5,16968.25,16971.0,6528
01/02/2024,05:00:00,16970.75,16976.5,16845.25,16874.75,22200
01/02/2024,06:00:00,16875.25,16878.0,16817.0,16823.5,16517
01/02/2024,07:00:00,16823.0,16855.5,16817.0,16853.0,20061
01/02/2024,08:00:00,16853.0,16877.75,16719.5,16763.5,101991
01/02/2024,09:00:00,16763.5,16789.0,16685.0,16710.5,94465
01/02/2024,10:00:00,16710.75,16785.5,16709.0,16778.25,63112
01/02/2024,11:00:00,16778.0,16787.75,16717.75,16720.0,52066
01/02/2024,12:00:00,16720.25,16742.0,16688.25,16696.0,49670
01/02/2024,13:00:00,16696.5,16707.5,16653.75,16655.0,54751
01/02/2024,14:00:00,16654.75,16726.0,16622.5,16721.0,95834
01/02/2024,15:00:00,16721.0,16736.5,16714.0,16731.75,15888
01/02/2024,17:00:00,16736.75,16737.25,16716.75,16724.75,3488
01/02/2024,18:00:00,16724.5,16729.0,16715.0,16716.5,3030
01/02/2024,19:00:00,16716.75,16721.0,16707.5,16711.75,4019
01/02/2024,20:00:00,16711.25,16714.75,16700.0,16702.75,2982
01/02/2024,21:00:00,16703.0,16709.25,16701.5,16703.5,2060
01/02/2024,22:00:00,16703.25,16704.5,16693.25,16694.75,2368
01/02/2024,23:00:00,16695.0,16705.75,16689.0,16704.75,3211
01/03/2024,00:00:00,16704.5,16716.75,16700.25,16711.5,2946
01/03/2024,01:00:00,16711.0,16714.0,16701.5,16709.75,4025
01/03/2024,02:00:00,16709.5,16729.5,16672.25,16675.0,10422
01/03/2024,03:00:00,16674.25,16688.25,16641.25,16642.5,11190
01/03/2024,04:00:00,16642.25,16674.0,16636.75,16657.5,9365
01/03/2024,05:00:00,16657.75,16665.75,16636.0,16648.25,7598
01/03/2024,06:00:00,16648.5,16649.25,16602.75,16609.25,14461
01/03/2024,07:00:00,16609.25,16646.0,16598.0,16617.0,21101
01/03/2024,08:00:00,16617.0,16642.25,16581.5,16613.75,110534
01/03/2024,09:00:00,16612.75,16653.5,16544.0,16595.25,115181
01/03/2024,10:00:00,16595.5,16618.0,16558.25,16562.25,62925
01/03/2024,11:00:00,16562.5,16605.0,16549.25,16600.5,44656
01/03/2024,12:00:00,16600.25,16619.5,16570.75,16585.5,37764
01/03/2024,13:00:00,16583.5,16628.75,16529.75,16590.5,96435
01/03/2024,14:00:00,16590.5,16597.0,16522.0,16540.75,87836
01/03/2024,15:00:00,16540.5,16543.0,16527.25,16542.75,10765
01/03/2024,17:00:00,16545.25,16562.75,16545.25,16549.5,3730
01/03/2024,18:00:00,16549.25,16563.25,16533.0,16560.0,4297
01/03/2024,19:00:00,16559.75,16562.75,16548.75,16555.75,3508
01/03/2024,20:00:00,16556.0,16557.25,16542.75,16552.25,2327
01/03/2024,21:00:00,16552.0,16557.75,16546.75,16549.5,1662
01/03/2024,22:00:00,16549.0,16555.25,16548.0,16548.5,1467
01/03/2024,23:00:00,16549.0,16552.25,16542.75,16543.75,2056
01/04/2024,00:00:00,16543.75,16570.5,16539.5,16569.25,3908
01/04/2024,01:00:00,16569.75,16587.25,16565.75,16570.5,4950
01/04/2024,02:00:00,16571.0,16584.25,16545.75,16549.5,8135
01/04/2024,03:00:00,16549.5,16580.75,16548.75,16577.0,5831
01/04/2024,04:00:00,16576.75,16578.25,16551.0,16563.75,4972
01/04/2024,05:00:00,16563.75,16573.0,16528.25,16529.25,6376
01/04/2024,06:00:00,16529.0,16535.75,16504.5,16519.25,13392
01/04/2024,07:00:00,16519.0,16519.0,16451.25,16459.5,30179
01/04/2024,08:00:00,16459.0,16500.25,16443.25,16460.75,83146
01/04/2024,09:00:00,16460.25,16542.0,16445.75,16525.25,86595
01/04/2024,10:00:00,16525.25,16583.75,16514.25,16523.0,76014
01/04/2024,11:00:00,16523.0,16528.75,16481.25,16505.0,50972
01/04/2024,12:00:00,16505.5,16529.0,16492.5,16505.25,35628
01/04/2024,13:00:00,16505.25,16515.0,16464.75,16487.0,44409
01/04/2024,14:00:00,16486.75,16511.0,16436.0,16443.75,64015
01/04/2024,15:00:00,16443.75,16457.5,16436.75,16450.75,13702
01/04/2024,17:00:00,16455.0,16468.75,16450.75,16456.5,3257
01/04/2024,18:00:00,16456.5,16466.5,16453.25,16458.75,2722
01/04/2024,19:00:00,16458.75,16469.0,16450.75,16460.5,3499
01/04/2024,20:00:00,16460.0,16461.25,16448.75,16451.5,2247
01/04/2024,21:00:00,16451.25,16455.0,16444.75,16446.0,1710
01/04/2024,22:00:00,16446.5,16456.75,16441.0,16442.25,2588
01/04/2024,23:00:00,16442.25,16444.5,16425.75,16428.5,3359
01/05/2024,00:00:00,16428.75,16434.5,16401.25,16412.0,5411
01/05/2024,01:00:00,16412.25,16422.5,16399.5,16401.0,4977
01/05/2024,02:00:00,16401.0,16438.75,16398.25,16409.25,8054
01/05/2024,03:00:00,16409.25,16420.5,16390.75,16397.0,8048
01/05/2024,04:00:00,16397.0,16404.75,16371.75,16385.5,7180
01/05/2024,05:00:00,16385.75,16395.0,16367.5,16388.75,6671
01/05/2024,06:00:00,16388.75,16403.25,16381.0,16392.25,7229
01/05/2024,07:00:00,16392.0,16426.75,16334.25,16399.75,59151
01/05/2024,08:00:00,16400.5,16495.5,16398.0,16471.5,91342
01/05/2024,09:00:00,16472.75,16568.5,16472.75,16563.75,93794
01/05/2024,10:00:00,16563.75,16577.25,16494.25,16516.5,67839
01/05/2024,11:00:00,16516.5,16519.0,16448.5,16469.25,57527
01/05/2024,12:00:00,16468.75,16505.75,16430.25,16488.5,58236
01/05/2024,13:00:00,16489.0,16509.75,16418.75,16424.25,51861
01/05/2024,14:00:00,16424.75,16472.25,16403.75,16463.75,64141
01/05/2024,15:00:00,16464.0,16469.25,16456.5,16465.0,9818
01/07/2024,17:00:00,16470.0,16490.0,16458.75,16482.75,5956
01/07/2024,18:00:00,16482.25,16497.75,16482.0,16493.25,3675
01/07/2024,19:00:00,16492.75,16500.25,16468.0,16469.25,4617
01/07/2024,20:00:00,16469.0,16469.0,16457.0,16461.0,4075
01/07/2024,21:00:00,16461.75,16463.0,16438.0,16441.25,4669
01/07/2024,22:00:00,16441.25,16450.5,16439.25,16448.5,2213
01/07/2024,23:00:00,16448.25,16455.0,16436.25,16441.5,3228
01/08/2024,00:00:00,16441.25,16452.75,16432.0,16438.5,3462
01/08/2024,01:00:00,16439.0,16462.0,16437.0,16442.75,4703
01/08/2024,02:00:00,16443.5,16455.0,16423.0,16424.5,7441
01/08/2024,03:00:00,16425.5,16438.25,16378.25,16420.25,10931
01/08/2024,04:00:00,16420.0,16444.25,16419.75,16424.25,6004
01/08/2024,05:00:00,16424.5,16467.25,16410.0,16458.75,11275
01/08/2024,06:00:00,16458.5,16486.25,16452.25,16484.75,9753
01/08/2024,07:00:00,16484.25,16497.75,16469.5,16477.5,13371
01/08/2024,08:00:00,16477.25,16633.5,16472.25,16628.5,94666
01/08/2024,09:00:00,16628.5,16671.25,16612.75,16658.0,78651
01/08/2024,10:00:00,16658.25,16679.25,16640.25,16677.25,58991
01/08/2024,11:00:00,16677.5,16718.75,16674.5,16717.0,47658
01/08/2024,12:00:00,16716.75,16742.75,16706.0,16741.5,29386
01/08/2024,13:00:00,16741.5,16793.5,16731.75,16784.75,44056
