Date,Time,Open,High,Low,Close,Volume
05/01/2024,00:00:00,17527.25,17528.0,17454.25,17475.0,20597
05/01/2024,04:00:00,17474.25,17515.75,17412.0,17498.0,54215
05/01/2024,08:00:00,17498.0,17518.5,17399.25,17433.5,277591
05/01/2024,12:00:00,17432.75,17793.25,17413.0,17474.75,402228
05/01/2024,16:00:00,17487.0,17543.25,17487.0,17537.75,14480
05/01/2024,20:00:00,17538.5,17561.25,17525.5,17552.25,10807
05/02/2024,00:00:00,17552.0,17599.75,17519.5,17560.0,27470
05/02/2024,04:00:00,17560.25,17619.75,17558.25,17576.75,45321
05/02/2024,08:00:00,17577.5,17602.5,17386.25,17531.25,336717
05/02/2024,12:00:00,17531.25,17755.25,17531.25,17743.0,192384
05/02/2024,16:00:00,17744.25,17808.25,17722.75,17762.75,16381
05/02/2024,20:00:00,17763.5,17787.0,17748.0,17751.25,9376
05/03/2024,00:00:00,17751.25,17768.5,17719.5,17760.25,19247
05/03/2024,04:00:00,17760.75,17962.25,17740.25,17924.25,61315
05/03/2024,08:00:00,17923.25,18050.25,17893.75,17972.25,322720
05/03/2024,12:00:00,17972.5,18027.75,17967.0,18025.5,117738
05/05/2024,16:00:00,18047.5,18063.75,17995.0,18006.0,12010
05/05/2024,20:00:00,18006.0,18014.5,17989.5,17995.0,6693
05/06/2024,00:00:00,17994.25,18036.5,17983.75,18028.25,18282
05/06/2024,04:00:00,18028.5,18072.75,18025.0,18059.25,27182
05/06/2024,08:00:00,18058.75,18121.5,18042.75,18117.5,198979
05/06/2024,12:00:00,18117.75,18201.25,18093.0,18185.5,126196
05/06/2024,16:00:00,18189.5,18196.75,18171.25,18177.75,7840
05/06/2024,20:00:00,18178.25,18190.25,18168.75,18184.25,7776
05/07/2024,00:00:00,18184.75,18196.5,18155.0,18194.75,18192
05/07/2024,04:00:00,18194.75,18199.0,18151.0,18192.25,29027
05/07/2024,08:00:00,18192.25,18263.75,18181.75,18240.0,238795
05/07/2024,12:00:00,18240.0,18266.25,18166.5,18197.75,163189
05/07/2024,16:00:00,18194.0,18212.25,18181.0,18208.5,7707
05/07/2024,20:00:00,18208.5,18215.5,18185.5,18186.0,8591
05/08/2024,00:00:00,18186.0,18216.75,18181.0,18192.5,17644
05/08/2024,04:00:00,18192.25,18203.0,18072.5,18092.25,47550
05/08/2024,08:00:00,18091.75,18242.25,18078.5,18168.0,236090
05/08/2024,12:00:00,18168.25,18201.5,18138.75,18160.75,133062
05/08/2024,16:00:00,18160.75,18175.75,18153.25,18166.25,6145
05/08/2024,20:00:00,18166.25,18176.75,18148.75,18149.5,6355
05/09/2024,00:00:00,18149.75,18162.0,18120.0,18124.5,18206
05/09/2024,04:00:00,18124.25,18200.5,18103.75,18190.75,39744
05/09/2024,08:00:00,18190.75,18237.25,18108.75,18214.25,258055
05/09/2024,12:00:00,18213.75,18240.25,18188.0,18220.75,140358
05/09/2024,16:00:00,18226.0,18244.75,18216.25,18231.25,6900
05/09/2024,20:00:00,18231.5,18234.75,18213.5,18228.0,7720
05/10/2024,00:00:00,18227.75,18291.5,18221.5,18291.25,23562
05/10/2024,04:00:00,18291.0,18306.75,18249.75,18252.75,35548
05/10/2024,08:00:00,18253.25,18348.0,18188.5,18245.0,271259
05/10/2024,12:00:00,18244.75,18271.0,18207.5,18239.25,124427
05/12/2024,16:00:00,18238.0,18259.0,18228.75,18258.25,8327
05/12/2024,20:00:00,18258.5,18287.5,18252.0,18286.25,10255
05/13/2024,00:00:00,18286.25,18300.75,18273.75,18279.0,16017
05/13/2024,04:00:00,18278.75,18328.75,18276.0,18325.25,24896
05/13/2024,08:00:00,18325.0,18336.25,18252.25,18294.0,219186
05/13/2024,12:00:00,18294.0,18301.0,18235.0,18286.0,126616
05/13/2024,16:00:00,18282.0,18290.0,18273.5,18277.75,6486
05/13/2024,20:00:00,18277.25,18280.75,18262.75,18270.5,7847
05/14/2024,00:00:00,18269.75,18308.5,18269.75,18305.75,13316
