,Open,High,Low,Close,Volume
2024-01-01 17:00:00,17019.0,17037.0,17013.75,17029.5,4633
2024-01-01 18:00:00,17030.0,17030.75,17018.5,17027.0,2270
2024-01-01 19:00:00,17026.75,17038.5,17010.75,17014.5,5255
2024-01-01 20:00:00,17014.5,17019.0,17001.0,17008.25,3541
2024-01-01 21:00:00,17008.25,17013.0,17002.25,17007.5,2024
2024-01-01 22:00:00,17007.25,17013.0,17003.25,17007.75,1526
2024-01-01 23:00:00,17008.0,17019.0,17006.75,17017.75,2232
2024-01-02 00:00:00,17297.75,17305.75,17267.0,17271.0,4429
2024-01-02 01:00:00,17272.25,17320.0,17262.75,17315.25,8213
2024-01-02 02:00:00,17315.75,17353.5,17313.25,17351.5,13071
2024-01-02 03:00:00,17351.25,17356.0,17321.75,17331.0,8408
2024-01-02 04:00:00,17331.75,17354.5,17326.0,17353.0,5528
2024-01-02 05:00:00,17352.5,17358.0,17325.5,17337.5,8100
2024-01-02 06:00:00,17338.0,17363.75,17329.25,17346.75,11032
2024-01-02 07:00:00,17346.0,17357.75,17302.25,17336.25,24528
2024-01-02 08:00:00,17335.75,17351.0,17285.25,17303.5,82615
2024-01-02 09:00:00,17300.25,17371.75,17270.0,17273.25,108682
2024-01-02 10:00:00,17273.25,17335.0,17264.0,17324.75,72227
2024-01-02 11:00:00,17325.0,17414.0,17322.5,17383.25,77924
2024-01-02 12:00:00,17383.5,17401.5,17329.0,17373.5,65574
2024-01-02 13:00:00,17373.5,17437.0,17373.0,17433.25,53769
2024-01-02 14:00:00,17433.25,17453.25,17404.25,17440.25,60607
2024-01-02 15:00:00,17440.25,17646.75,17416.5,17628.0,61081
2024-01-02 17:00:00,17588.0,17607.5,17578.5,17593.5,9599
2024-01-02 18:00:00,17593.0,17602.0,17581.0,17602.0,4129
2024-01-02 19:00:00,17602.25,17631.75,17598.25,17621.5,5915
2024-01-02 20:00:00,17621.25,17624.5,17604.75,17618.75,3555
2024-01-02 21:00:00,17619.25,17621.25,17601.25,17602.75,2918
2024-01-02 22:00:00,17602.5,17612.25,17599.5,17606.5,2173
2024-01-02 23:00:00,17606.75,17618.75,17603.0,17612.0,2204
2024-01-03 00:00:00,18127.75,18142.5,18126.5,18140.25,3845
2024-01-03 01:00:00,18140.5,18163.0,18134.0,18154.75,7164
2024-01-03 02:00:00,18154.5,18156.5,18116.0,18123.75,9722
2024-01-03 03:00:00,18124.0,18146.75,18118.25,18128.25,8992
2024-01-03 04:00:00,18127.5,18128.0,18029.5,18064.75,20244
2024-01-03 05:00:00,18064.75,18094.5,18059.0,18092.5,8884
2024-01-03 06:00:00,18092.25,18103.5,18074.25,18092.5,8832
2024-01-03 07:00:00,18093.25,18110.5,18070.5,18089.25,17795
2024-01-03 08:00:00,18089.0,18144.5,18081.25,18133.0,75721
2024-01-03 09:00:00,18134.0,18204.5,18122.0,18191.75,110242
2024-01-03 10:00:00,18192.0,18249.25,18188.25,18239.25,66635
2024-01-03 11:00:00,18240.0,18291.75,18221.75,18286.0,55488
2024-01-03 12:00:00,18286.5,18348.25,18280.0,18345.0,51676
2024-01-03 13:00:00,18344.75,18372.75,18332.75,18366.25,63131
2024-01-03 14:00:00,18366.5,18367.0,18321.75,18335.0,72030
2024-01-03 15:00:00,18335.0,18335.25,18315.0,18321.0,18065
2024-01-04 00:00:00,18589.5,18592.75,18571.25,18573.0,2652
2024-01-04 01:00:00,18572.5,18582.5,18567.0,18569.0,2752
2024-01-04 02:00:00,18569.0,18602.75,18568.5,18597.0,5254
2024-01-04 03:00:00,18597.25,18597.75,18557.0,18577.25,6753
2024-01-04 04:00:00,18577.25,18579.75,18560.5,18571.0,3007
2024-01-04 05:00:00,18571.0,18583.0,18568.5,18580.0,3508
2024-01-04 06:00:00,18579.75,18579.75,18528.0,18542.0,8970
2024-01-04 07:00:00,18542.25,18542.25,18493.25,18515.25,16799
2024-01-04 08:00:00,18515.25,18607.0,18478.0,18586.0,93830
2024-01-04 09:00:00,18584.5,18604.25,18466.75,18482.0,115848
2024-01-04 10:00:00,18482.25,18489.25,18420.5,18425.25,73916
2024-01-04 11:00:00,18425.5,18491.25,18414.5,18469.0,45992
2024-01-04 12:00:00,18469.25,18472.5,18425.25,18464.0,37246
2024-01-04 13:00:00,18464.5,18482.5,18450.25,18468.75,29416
2024-01-04 14:00:00,18468.75,18514.25,18456.0,18495.25,64944
2024-01-04 15:00:00,18494.75,18505.75,18489.0,18497.75,14641
2024-01-04 17:00:00,18497.25,18499.5,18472.25,18477.75,3506
2024-01-04 18:00:00,18478.0,18484.0,18458.5,18470.25,3498
2024-01-04 19:00:00,18470.5,18473.5,18458.0,18466.25,3314
2024-01-04 20:00:00,18465.5,18477.5,18457.75,18470.0,3263
2024-01-04 21:00:00,18470.25,18490.0,18466.0,18487.0,2725
2024-01-04 22:00:00,18486.75,18490.5,18477.25,18479.0,1951
2024-01-04 23:00:00,18479.25,18482.5,18468.75,18476.0,1745
2024-01-05 00:00:00,17527.25,17528.0,17505.75,17508.25,2308
2024-01-05 01:00:00,17507.5,17517.0,17466.0,17486.0,5687
2024-01-05 02:00:00,17486.0,17498.75,17454.25,17467.5,5902
2024-01-05 03:00:00,17468.0,17489.5,17459.25,17475.0,6700
2024-01-05 04:00:00,17474.25,17475.25,17417.25,17436.0,11356
2024-01-05 05:00:00,17436.25,17460.75,17412.0,17460.0,9870
2024-01-05 06:00:00,17459.75,17472.75,17438.0,17446.25,9640
2024-01-05 07:00:00,17446.25,17515.75,17440.75,17498.0,23349
2024-01-05 08:00:00,17498.0,17518.5,17455.25,17475.0,85946
2024-01-05 09:00:00,17477.25,17506.25,17425.75,17487.5,80031
2024-01-05 10:00:00,17487.25,17493.0,17412.25,17421.75,63097
