,Open,High,Low,Close,Volume
2024-01-01 17:00:00,17019.0,17037.0,17013.75,17033.25,3517
2024-01-01 17:30:00,17033.25,17036.25,17027.25,17029.5,1116
2024-01-01 18:00:00,17030.0,17030.75,17018.5,17019.75,1222
2024-01-01 18:30:00,17019.75,17028.0,17018.5,17027.0,1048
2024-01-01 19:00:00,17026.75,17038.5,17026.25,17029.25,2664
2024-01-01 19:30:00,17029.0,17031.5,17010.75,17014.5,2591
2024-01-01 20:00:00,17014.5,17019.0,17010.25,17011.5,1696
2024-01-01 20:30:00,17011.75,17013.25,17001.0,17008.25,1845
2024-01-01 21:00:00,17008.25,17013.0,17004.5,17009.0,1130
2024-01-01 21:30:00,17009.25,17010.25,17002.25,17007.5,894
2024-01-01 22:00:00,17007.25,17008.75,17003.25,17007.75,627
2024-01-01 22:30:00,17008.0,17013.0,17007.25,17007.75,899
2024-01-01 23:00:00,17008.0,17019.0,17006.75,17017.0,1471
2024-01-01 23:30:00,17016.5,17019.0,17015.5,17017.75,761
2024-01-02 00:00:00,17297.75,17305.75,17285.0,17286.75,1460
2024-01-02 00:30:00,17286.5,17299.25,17267.0,17271.0,2969
2024-01-02 01:00:00,17272.25,17287.5,17262.75,17283.75,3789
2024-01-02 01:30:00,17284.25,17320.0,17279.0,17315.25,4424
2024-01-02 02:00:00,17315.75,17352.25,17313.25,17349.75,7422
2024-01-02 02:30:00,17349.0,17353.5,17326.25,17351.5,5649
2024-01-02 03:00:00,17351.25,17356.0,17324.25,17334.25,5123
2024-01-02 03:30:00,17333.75,17343.5,17321.75,17331.0,3285
2024-01-02 04:00:00,17331.75,17350.0,17326.0,17344.25,2985
2024-01-02 04:30:00,17344.75,17354.5,17340.5,17353.0,2543
2024-01-02 05:00:00,17352.5,17358.0,17332.0,17337.25,4554
2024-01-02 05:30:00,17337.25,17342.0,17325.5,17337.5,3546
2024-01-02 06:00:00,17338.0,17354.25,17329.25,17344.75,5670
2024-01-02 06:30:00,17345.5,17363.75,17343.25,17346.75,5362
2024-01-02 07:00:00,17346.0,17347.0,17302.25,17325.5,10658
2024-01-02 07:30:00,17327.5,17357.75,17321.0,17336.25,13870
2024-01-02 08:00:00,17335.75,17351.0,17300.0,17307.0,13873
2024-01-02 08:30:00,17306.5,17337.75,17285.25,17303.5,68742
2024-01-02 09:00:00,17300.25,17369.25,17270.0,17368.25,61976
2024-01-02 09:30:00,17368.25,17371.75,17273.0,17273.25,46706
2024-01-02 10:00:00,17273.25,17299.25,17264.0,17280.5,39600
2024-01-02 10:30:00,17280.25,17335.0,17279.5,17324.75,32627
2024-01-02 11:00:00,17325.0,17392.75,17322.5,17344.75,40095
2024-01-02 11:30:00,17344.25,17414.0,17335.0,17383.25,37829
2024-01-02 12:00:00,17383.5,17386.0,17329.0,17373.25,32633
2024-01-02 12:30:00,17373.75,17401.5,17340.75,17373.5,32941
2024-01-02 13:00:00,17373.5,17411.25,17373.0,17395.5,26091
2024-01-02 13:30:00,17395.5,17437.0,17381.0,17433.25,27678
2024-01-02 14:00:00,17433.25,17450.75,17418.25,17438.25,24100
2024-01-02 14:30:00,17438.25,17453.25,17404.25,17440.25,36507
2024-01-02 15:00:00,17440.25,17584.0,17416.5,17582.0,39794
2024-01-02 15:30:00,17582.75,17646.75,17554.75,17628.0,21287
2024-01-02 17:00:00,17588.0,17607.5,17578.5,17591.0,6859
2024-01-02 17:30:00,17590.5,17600.75,17583.75,17593.5,2740
2024-01-02 18:00:00,17593.0,17594.5,17581.0,17590.75,2408
2024-01-02 18:30:00,17590.5,17602.0,17588.75,17602.0,1721
2024-01-02 19:00:00,17602.25,17619.5,17598.25,17614.0,2978
2024-01-02 19:30:00,17614.0,17631.75,17612.75,17621.5,2937
2024-01-02 20:00:00,17621.25,17624.5,17604.75,17610.25,2258
2024-01-02 20:30:00,17610.75,17620.25,17609.25,17618.75,1297
2024-01-02 21:00:00,17619.25,17621.25,17608.0,17608.5,1455
2024-01-02 21:30:00,17608.75,17611.0,17601.25,17602.75,1463
2024-01-02 22:00:00,17602.5,17610.75,17599.5,17609.75,1191
2024-01-02 22:30:00,17609.75,17612.25,17600.75,17606.5,982
2024-01-02 23:00:00,17606.75,17618.0,17603.0,17618.0,1144
